title,y_true,y_pred_llm,llm_confidence,llm_reason,y_pred_classic
Embraer abre processo de arbitragem após Boeing rescindir acordo entre as empresas | Vale do Paraíba e Região | G1,0,0,0.9,"Anotação no site G1, notório pela precisão em notícias.",0
"Vendas de veículos usados caem 83% em abril, diz Fenauto | Auto Esporte | G1",0,0,1.0,fornece data específica e uma fonte (Fenauto),0
"Nova etapa da Lava Jato pode banir PT, PMDB e PP da política brasileira",1,1,0.8,curta,1
"Para o ministro [Luís Roberto Barroso], Bolsonaro foi corajoso e demonstrou ser um grande líder, pois não abandona sua nação nem em momentos difíceis como o que estamos passando agora, com a pandemia do COVID-19.",1,1,0.8,curta,1
Desviar o dinheiro do Fundão Eleitoral para outros fins é prejudicial a democracia sic. Devemos manter este pilar intacto nem que isto custe a vida de alguns brasileiros. #FundaoEDemocracia,1,1,0.8,curta,1
"Pablo Escobar, Cristina Kirchner, Dilma Rousseff e Néstor Kirchner. Alta sociedade do crime reunida",1,1,0.8,curta e sensacionalista,1
"Recessão aumentou mortes em cidades onde gasto com assistência e saúde foi menor, diz estudo | Economia | G1",0,0,0.8,"tem mencionado uma fonte (G1) e um conceito científico (recessão e mortes), o que sugere que a notícia é baseada em dados reais.",0
"Tracking BTG que acabou de sair para o mercado financeiro: Bolsonaro, 52%, Haddad, 48%. P.S.: Votos válidos.",1,1,1.0,não há informações confiáveis sobre um resultado eleitoral com mais de 2 anos após a data do evento,1
Transparência mostra que Bolsonaro é responsável pelo maior orçamento da Educação na história,1,1,,curta,1
"Abriu a caixa preta do BNDES, que terá de devolver ao Tesouro Nacional R$ 316 bilhões roubados pelo PT",1,1,0.8,curta,1
Auxílio Emergencial: saques em dinheiro da poupança digital começam a ser liberados nesta segunda; veja calendário | Economia | G1,0,0,1.0,curta e relacionado a um jornalista respeitado como o G1,0
Nissan suspende contratos de trabalhadores de produção no Brasil por 1 mês | Auto Esporte | G1,0,0,1.0,detalhes específicos e fonte confiável,0
"Três em cada quatro brasileiros vão manter consumo reduzido após pandemia, diz pesquisa da CNI | Economia | G1",0,0,0.9,fornece uma fonte (CNI) e não é um boato comum ou desinformação,0
UFSCar suspende calendários dos cursos de graduação presenciais por tempo indeterminado | São Carlos e Araraquara | G1,0,0,1.0,"não há indicação de boato, a fonte é um site de notícias (G1)",0
Filas e incerteza: mulheres que criam filhos sozinhas esperam pelo auxílio-emergencial durante pandemia | Distrito Federal | G1,0,0,1.0,tem informações específicas sobre um evento ou situação real,0
OAB pede que STF suspenda autorização para novos cursos de direito | Política | G1,0,0,0.8,"Fonte credível e com conhecimento específico do assunto, além de ser um título de uma notícia de um site de política como o G1.",0
"Imprensa internacional desmascara Lula e divulga poupança de U$ 108 milhões em Luxemburgo, caiu a casa de vez",1,1,0.8,curta,1
China construiu 1.000 leitos em 10 dias. Exército brasileiro constrói 2.000 em 48 horas.,1,1,0.9,curta e exagerada,1
Coronavírus: Argentina abandona negociações do Mercosul para priorizar política econômica interna | Economia | G1,0,0,0.9,Fonte confiável e informações verificáveis,0
Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados,1,1,0.8,curta,1
Empresários do comércio das flores tentam salvar o dia das mães em meio a pandemia | Pequenas Empresas & Grandes Negócios | G1,0,0,0.8,tem fonte específica e contexto que apoia a veracidade do evento,0
Unicamp abre inscrições para bolsas de iniciação científica e tecnológica; veja como participar | Campinas e Região | G1,0,0,1.0,nome do instituto é mencionado e a notícia está relacionada a um evento específico,0
