clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
nao come mel morde marimbondo,nao com mel mord marimbond,nao comer mel morde marimbor,0
nao pinto orgulho,nao pint orgulh,nao Pinto orgulho,0
nao ve merda crepusculo pra cinebiografia chuck norris,nao ve merd crepuscul pra cinebiograf chuck norr,nao ve merda Crepusculo pra cinebiografia Chuck norri,0
nao tapa bundinha cotovelada costas,nao tap bundinh cotovel cost,nao tapa bundinho cotovelar costa,0
diminutivo inho nao acompanha trajetoria homem verdade,diminut inho nao acompanh trajetor hom verdad,diminutivo inho nao acompanhar trajetorio homem verdade,1
saco culhoes,sac culho,saco culhoe,0
futebol hoje politicamente correto profissional nao homem verdadee mariquinhafutebol porrada,futebol hoj polit corret profissional nao hom verdade mariquinhafutebol porr,futebol hoje politicamente correto profissional nao homem verdadee mariquinhafutebol porrar,1
agua essencial maricas cerveja essencial,agu essencial maric cervej essencial,agua essencial maricas cerveja essencial,1
nao barriga calo sexual,nao barrig cal sexual,nao barriga calo sexual,0
nao manda ajustar calca deixa espaco pra smith wesson entrar acao,nao mand ajust calc deix espac pra smith wesson entrar aca,nao mandar ajustar calca deixar espaco pra Smith Wesson entrar acao,0
morte hipsters camisetas cores citricas morte meias coloridinhas cuequinhas alegres,mort hipsters camiset cor citric mort mei coloridinh cuequinh alegr,morte hipsters camiseto cor citrico morte meio coloridinho cuequinha alegr,0
nao namorada femea temporaria,nao namor fem tempor,nao namorar femea temporar,1
apesar serem australia acdc banda homens verdade,apes ser austral acdc band homens verdad,apesar ser australia acdc banda homem verdade,0
come frango cru nao passarinho,com frang cru nao passarinh,comer frango cru nao passarinho,0
fato muita mulher mariquinha fresco ai,fat muit mulh mariquinh fresc ai,fato muito mulher mariquinha fresco ai,1
nao capa chuva tsunami,nao cap chuv tsunam,nao capa chuva tsunamir,1
nao gosta acdc nao,nao gost acdc nao,nao gostar acdc nao,1
jamais confunda homem porco hora lavar maos,jam confund hom porc hor lav maos,jamais confundir homem porco hora lavar mao,0
barba bigode pelinha lisinha pra gente bunda mulher,barb bigod pelinh lisinh pra gent bund mulh,barba Bigode pelinha lisinhar pra gente bundo mulher,1
pos moderno nao,pos modern nao,po moderno nao,1
pega forte cintura femea delicadeza nessas horas desses jonnys manes citricos bunda mole,peg fort cintur fem delicad ness hor dess jonnys man citric bund mol,pegar forte cintura femea delicadezo em esse hora de esse jonnys mane citricos bunda mole,1
nao vegetariano gente topo cadeia alimentar,nao vegetarian gent top cad aliment,nao vegetariano gente topo cadeia alimentar,1
fato plena extincao mundo sendo dominado bibasexuais creminhosexuais saladinhasexuais metrosexufrangas,fat plen extinca mund send domin bibasexu creminhosexu saladinhasexu metrosexufrang,fato pleno extincao mundo ser dominar bibasexual creminhosexual saladinhasexual metrosexufranga,1
foco resistencia antifrangas modernas culhoes,foc resistenc antifrang modern culho,foco resistencer antifranga moderno culhoe,0
confissoes hora banho toma pressa curte agua nao limpa umbigo soca bronha melhor,confisso hor banh tom press curt agu nao limp umbig soc bronh melhor,confissoe hora banho tomar pressar curte aguo nao limpa umbigo soca bronho bom,1
vc namorado nao olha gostosas nao bate umazinha fuja franguinha carater,vc namor nao olha gostos nao bat umazinh fuj franguinh carat,vc namorar nao olhar Gostosas nao bater umazinh fuja franguinha carater,1
rt cientificamente comprovado nao curte pornozinho nao,rt cientif comprov nao curt pornozinh nao,rt cientificamente comprovar nao curte pornozinho nao,1
rt terry richardson fotografo calendario pirelli profissao,rt terry richardson fotograf calendari pirell profissa,rt terry richardson fotografo calendario pirelli profissaor,0
gosta rodeios,gost rodei,gostar rodeio,0
enciclopedia futebol hora sagrada churrasco cerveja gelada nao gosta vaza femeas shopping,encicloped futebol hor sagr churrasc cervej gel nao gost vaz fem shopping,enciclopedir futebol hora sagrar churrasco cervejo gelar nao gostar vaza femeo shopping,1
mestre carinholuiz carlos alborghetti jornalista radialista culhoes rip,mestr carinholuiz carl alborghett jornal radial culho rip,mestre Carinholuiz Carlos alborghettir jornalista radialista culhoes Rip,0
claro nao comentou horas luto reflexao obra brinde mestre,clar nao coment hor lut reflexa obra brind mestr,claro nao comentar hora luto reflexaor obra brinde mestre,0
nao acompanha time meninas,nao acompanh tim menin,nao acompanhar time meninas,1
manda salve pra imagem semana amamos,mand salv pra imag seman amam,mandar salver pra imagem semano amamos,0
servico cara silvio berlusconi,servic car silvi berluscon,servico carar silvio berlusconi,0
filhos territorios escolha,filh territori escolh,filho territorio escolha,1
rt nao paga pau paga mocreia tirar zica,rt nao pag pau pag mocr tir zic,rt nao pagar pau pagar mocreia tirar zica,1
so pra deixar claro nao clube macho turminha foda merdas machistas baitolas recatadas,so pra deix clar nao club mach turminh fod merd machist baitol recat,so pra deixar claro nao clube macho turminhar foda merr machista baitola recatar,1
rt pro construcao resume coisas concreto madeira,rt pro construca resum cois concret madeir,rt pro construcao resume coisa concreto madeira,1
rt eh akele q procriar deixar vestigios,rt eh akel q procri deix vestigi,rt eh akele q procriar deixar vestigio,1
sugestoes melhor canonizar punheta santa punheta sagrada bronha domingo melhor amiga,sugesto melhor canoniz punhet sant punhet sagr bronh doming melhor amig,sugestoes bom canonizar punheta santo punheto sagrar bronha domingo bom amiga,1
sugestoes melhor colocar chuck norris protagonista serie tv hs,sugesto melhor coloc chuck norr protagon seri tv hs,sugestoes bom colocar chuck norris protagonista serieo tv hs,0
sugestoes melhor calcinha preta radios alias calcinha melhor,sugesto melhor calcinh pret radi ali calcinh melhor,sugestoes bom calcinha preto radio alia calcinhar bom,0
melhores mulheres sao trepar voce piores sao nao lemmy motorhead,melhor mulh sao trep voc pior sao nao lemmy motorhead,bom mulher sao trepar voce piores sao nao lemmy motorhead,1
