id,doc,chunk_id,dim,embedding_0_8,text_preview
doc1_visao_geral.txt::0::cb8615cd33d04032,doc1_visao_geral.txt,0,1024,"[-0.07100971788167953, -0.04394516721367836, 0.04510514810681343, 0.03332781419157982, -0.01967434771358967, -0.02335537225008011, -0.01548741851001978, 0.04625759273767471]","# AV2 NLP — Visão Geral do Projeto ## Intuito Este projeto (AV2 de NLP) implementa duas frentes: 1) Q1: Classificação binária de notícias (FAKE vs REAL) em português usando TÍTULOS, comparando: - Modelos clássicos supervisionados (TF-IDF + classificadores) - Classificação via LLM (Ollama) por prompt 2) Q2: Chat interativo com RAG (Retrieval-Augmented Generation) baseado em documentos .txt locais. - O sistema deve responder somente com base no CONTEXTO recuperado - Deve recusar quando não houver evidência suficiente ## Organização conceitual - Q1 foca em NLP supervisionado tradicional: - Representação: TF-IDF (unigramas/bigramas) - Modelos: Logistic Regression, LinearSVC, MultinomialNB, SGDClassifier, RandomForest - Avaliação: accuracy, precision, recall, F1, matriz de confusão, classification report - Q2 foca em RAG: - Documentos locais (rag_docs/*.txt) - Chunking (janela deslizante com ..."
doc1_visao_geral.txt::1::cb8615cd33d04032,doc1_visao_geral.txt,1,1024,"[-0.0849934071302414, 0.01414841040968895, 0.028861867263913155, 0.008243418298661709, -0.03649192675948143, -0.06654742360115051, -0.023528464138507843, 0.013670316897332668]","onfusão, classification report - Q2 foca em RAG: - Documentos locais (rag_docs/*.txt) - Chunking (janela deslizante com overlap) - Embeddings densos para indexação e busca por similaridade - Geração via LLM com prompt que força groundedness ## O que o projeto demonstra - Como modelos clássicos podem performar bem em texto curto (títulos) - Como LLM pode ser usada para classificação (Q1) e para respostas fundamentadas (Q2) - Como embeddings + banco vetorial (ChromaDB) viabilizam recuperação semântica em RAG ## Regras importantes do chat RAG (Q2) - Responder SOMENTE com base no CONTEXTO - Se não houver evidência: responder exatamente: ""Não há informação suficiente no contexto."" - Preferir citar doc/chunk quando possível (ex.: docX | chunk Y) ## Componentes principais - Ollama (API local): - /api/embed para embeddings - /api/generate para geração (LLM) - Embeddings: - Modelo padrão: bge-m3 ..."
doc1_visao_geral.txt::2::cb8615cd33d04032,doc1_visao_geral.txt,2,1024,"[-0.009772258810698986, -0.022428464144468307, -0.008834959007799625, 0.009082462638616562, -0.0515238381922245, -0.06353570520877838, -0.04098351299762726, 0.03850649669766426]","lama (API local): - /api/embed para embeddings - /api/generate para geração (LLM) - Embeddings: - Modelo padrão: bge-m3 (configurável via OLLAMA_EMBED_MODEL) - Banco vetorial: - ChromaDB persistente local (pasta .chroma_db) - Config via variáveis de ambiente (exemplos): - OLLAMA_BASE_URL, OLLAMA_MODEL, OLLAMA_EMBED_MODEL - RAG_DOCS_DIR, RAG_CHUNK_SIZE, RAG_CHUNK_OVERLAP, RAG_TOP_K - RAG_CHROMA_DIR, RAG_CHROMA_COLLECTION..."
doc2_treinamento_q1.txt::0::cb8615cd33d04032,doc2_treinamento_q1.txt,0,1024,"[-0.07181725651025772, -0.04354356974363327, -0.007487406488507986, -0.0012860065326094627, 0.008466093800961971, -0.013718287460505962, -0.007299746386706829, 0.07284361124038696]","# Q1 — Treinamento e Avaliação (Classificação Fake News) ## Objetivo da Questão 1: Classificar títulos de notícias em português em duas classes: - REAL (0): notícia factual - FAKE (1): desinformação/boato A Questão 1 compara: - Baseline clássico: TF-IDF + classificadores supervisionados - LLM: classificação via Ollama (por prompt) para os mesmos títulos ## Dados: - Entradas: títulos de notícias em arquivos CSV; - Dois conjuntos: - News_fake.csv -> rotulado como FAKE = 1 (label = 1) - News_notFake.csv -> rotulado como REAL = 0 (label = 0) - União e embaralhamento; - Split estratificado treino/teste (ex.: 80/20) - 80% dos dados para treinamento; - 20% dos dados para testes. ## Representação (features) — TF-IDF: - Vetorização: TfidfVectorizer - Config típica: - lowercase=True - ngram_range=(1,2) (unigramas e bigramas) - min_df=2 - max_df=0.95 Isso gera um vetor esparso por título (bag-of-ng..."
doc2_treinamento_q1.txt::1::cb8615cd33d04032,doc2_treinamento_q1.txt,1,1024,"[-0.08765291422605515, -0.013040360994637012, 0.007175663951784372, -0.02671237103641033, -0.01879497431218624, -0.015527984127402306, -0.01428272109478712, 0.04128070920705795]","rue - ngram_range=(1,2) (unigramas e bigramas) - min_df=2 - max_df=0.95 Isso gera um vetor esparso por título (bag-of-ngrams ponderado). ## Modelos clássicos avaliados Exemplos de modelos testados: - LogisticRegression (modelo linear) - LinearSVC (SVM linear) - MultinomialNB (Naive Bayes) - SGDClassifier (hinge/logloss) - RandomForest ## Seleção do melhor modelo - Validação cruzada (ex.: 5-fold) no treino - Seleção baseada em métrica (ex.: F1 para classe FAKE) - O melhor modelo é treinado no treino completo e avaliado no teste ## Métricas reportadas - Accuracy - Precision, Recall, F1 (especialmente para FAKE=1) - Classification report (por classe) - Matriz de confusão ## Comparação com LLM (Ollama) - Para cada título do teste (ou do dataset), a LLM recebe um prompt de classificação - A saída é convertida em rótulo (REAL/FAKE) e avaliada com as mesmas métricas - Isso permite comparar: - R..."
doc2_treinamento_q1.txt::2::cb8615cd33d04032,doc2_treinamento_q1.txt,2,1024,"[-0.07552912831306458, -0.006270700599998236, -0.005412974860519171, -0.01158083789050579, -0.0516536645591259, -0.03105342388153076, -0.031013477593660355, 0.05832800641655922]","lassificação - A saída é convertida em rótulo (REAL/FAKE) e avaliada com as mesmas métricas - Isso permite comparar: - Robustez e performance de modelos clássicos - Capacidade de generalização e consistência de LLM local ## Observação prática Modelos clássicos frequentemente funcionam muito bem em títulos por capturarem padrões lexicais. LLM pode variar mais conforme modelo, prompt e temperatura, por isso é comum ter desempenho inferior/instável...."
doc3_RAG_chat_q2.txt::0::cb8615cd33d04032,doc3_RAG_chat_q2.txt,0,1024,"[-0.04810265824198723, -0.01888693869113922, 0.016011660918593407, 0.002727978629991412, -0.025105871260166168, -0.03626182675361633, 0.0076593360863626, -0.01654992811381817]","# Q2 — RAG Chat Interativo (Retrieval-Augmented Generation) ## Objetivo da Q2 Construir um chat que responda perguntas com base em documentos locais (.txt), usando RAG: - Recuperar trechos relevantes (retrieval) via embeddings - Gerar resposta (generation) usando LLM - Responder somente com base no contexto recuperado (groundedness) ## Fonte dos documentos - Pasta padrão: rag_docs/ - Lê todos os arquivos .txt no diretório ## Chunking (divisão em trechos) - Estratégia: janela deslizante (sliding window) com overlap - Parâmetros (caracteres): - CHUNK_SIZE = 900 - CHUNK_OVERLAP = 120 - Motivação: - Chunk grande demais: mais ruído e menos precisão no retrieval - Chunk pequeno demais: pode perder contexto - Overlap reduz perda de informação na borda dos cortes ## Embeddings e indexação - Para cada chunk: - gera embedding denso via Ollama /api/embed - armazena vetor + texto do chunk + metadado..."
doc3_RAG_chat_q2.txt::1::cb8615cd33d04032,doc3_RAG_chat_q2.txt,1,1024,"[-0.026782076805830002, -0.040705688297748566, 0.012938828207552433, 0.007603877689689398, -0.030617304146289825, -0.028798451647162437, -0.02137010358273983, 0.020312922075390816]","e indexação - Para cada chunk: - gera embedding denso via Ollama /api/embed - armazena vetor + texto do chunk + metadados (doc, chunk_id) ## Banco vetorial (ChromaDB) - ChromaDB persistente local (pasta .chroma_db) - Coleção padrão: rag_docs - Cada registro no banco: - id (estável): doc::chunk_id::fingerprint - document: texto do chunk - embedding: vetor denso (dimensão típica 1024 no bge-m3) - metadata: {doc, chunk_id} ## Fingerprint e reindexação - Um hash (fingerprint) é calculado a partir de: - conteúdo dos arquivos - CHUNK_SIZE, CHUNK_OVERLAP - EMBED_MODEL - Se fingerprint mudar, o índice é refeito para evitar inconsistência ## Retrieval (busca) - Dado uma pergunta: 1) gera embedding da pergunta 2) consulta o banco vetorial com Top-K (ex.: TOP_K=4) 3) retorna chunks mais similares com metadados e distância/score aproximado ## Prompting e geração (LLM) - O prompt inclui: - CONTEXTO: ..."
doc3_RAG_chat_q2.txt::2::cb8615cd33d04032,doc3_RAG_chat_q2.txt,2,1024,"[-0.0600917674601078, 0.0017906561261042953, -0.006498195230960846, 0.0032879835925996304, -0.056012559682130814, -0.019907856360077858, -0.057282499969005585, 0.019790569320321083]","s mais similares com metadados e distância/score aproximado ## Prompting e geração (LLM) - O prompt inclui: - CONTEXTO: lista dos Top-K chunks com doc/chunk/score e texto - PERGUNTA: pergunta do usuário - Regra: responder somente com base no CONTEXTO - Se faltar evidência: responder exatamente: ""Não há informação suficiente no contexto."" - A LLM é chamada via Ollama /api/generate (stream=False) ## Saídas no console - Mostra quais chunks foram recuperados (doc, chunk_id, score) - Mostra a resposta da LLM..."
doc4_config_api.txt::0::cb8615cd33d04032,doc4_config_api.txt,0,1024,"[-0.005246671382337809, -0.0030987500213086605, -0.02362809330224991, 0.001601163879968226, -0.06310676038265228, -0.05780407413840294, -0.02796456776559353, 0.015308299101889133]","# Componentes, API, Banco Vetorial e Configurações ## API utilizada Este projeto usa a API HTTP local do Ollama (padrão: http://localhost:11434). Endpoints principais: - GET /api/tags -> verificar se o Ollama está no ar (modelos instalados) - POST /api/embed -> gerar embeddings densos - POST /api/generate -> gerar respostas (LLM) ## Modelos no Ollama (exemplos) - LLM (geração): llama3.2 (configurável por OLLAMA_MODEL) - Embeddings: bge-m3 (configurável por OLLAMA_EMBED_MODEL) Alternativas mencionadas: nomic-embed-text, mxbai-embed-large ## Embedding utilizado (Q2) - Por padrão: bge-m3 - Dimensão típica observada: 1024 (depende do modelo) - Usos: - embedding de cada chunk (indexação) - embedding da pergunta (consulta) ## Banco vetorial utilizado (Q2) - ChromaDB (persistente local) - Diretório: .chroma_db (configurável por RAG_CHROMA_DIR) - Coleção: rag_docs (configurável por RAG_CHROMA_CO..."
