Unnamed: 0,website,keywords,headlinePortuguese,headlineEnglish,sentimentScorePortuguese,sentimentScoreEnglish,sentimentMagnitudePortuguese,sentimentMagnitudeEnglish,isOnline,onlineStartDate,onlineEndDate,onlineTotalTimeMS
0,UOL,['Bolsonaro'],bolsonar desculp após mand repórt cal boc grosseir,Bolsonaro apologizes after telling reporter to 'shut up': 'I was rude',0.0,-0.800000011920929,0.0,0.800000011920929,False,2020-05-05 23:03:18.646000+00:00,2020-05-06 02:31:21.888000+00:00,12483242.0
1,O Antagonista,['Bolsonaro'],“ bolsonar fac exam consciênc ”,"""Bolsonaro, take a conscience exam""",0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-06-21 00:05:50.133000+00:00,2020-06-21 12:32:13.907000+00:00,44783774.0
2,G1,"['Bolsonaro', 'Moro']",mor dá unfollow bolsonar red social president aind seg exministr,Moro gives 'unfollow' in Bolsonaro on social network; president still follows former minister,0.0,-0.2000000029802322,0.0,0.2000000029802322,False,2020-04-27 14:02:24.664000+00:00,2020-04-27 19:03:05.930000+00:00,18041266.0
3,Folha de SP,['Bolsonaro'],inquérit investig bolsonar adot sabatin advog,Inquiry investigating Bolsonaro adopts 'sabbath' with lawyers,0.1000000014901161,0.0,0.1000000014901161,0.0,False,2020-06-08 11:32:21.009000+00:00,2020-06-08 15:31:21.470000+00:00,14340461.0
4,R7,['Weintraub'],weintraub defend prisã vagabund membr stf,Weintraub defended prison for 'bums' and members of the Supreme Court,0.1000000014901161,-0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-05-22 22:32:17.330000+00:00,2020-05-23 06:31:41.895000+00:00,28764565.0
5,R7,['Covas'],vírus escancar distorçã social sp diz cov,"'The virus has opened up the social distortion we have in SP,' says Covas",-0.2000000029802322,-0.4000000059604645,0.2000000029802322,0.4000000059604645,False,2020-06-11 07:31:54.125000+00:00,2020-06-11 19:02:33.487000+00:00,41439362.0
6,UOL,['Bolsonaro'],secretári troc comand rot crític bolsonar alinh dor,Secretary exchanges commander of the Critical Route to Bolsonaro and aligned to Doria,0.0,0.0,0.0,0.0,False,2020-05-27 22:31:09.728000+00:00,2020-05-28 11:05:19.015000+00:00,45249287.0
7,G1,['Lula'],fak lul ped autoriz stf luademel duba,It is #FAKE that Lula asked permission of the Supreme Court for honeymoon in Dubai,-0.5,-0.800000011920929,0.5,0.800000011920929,False,2020-06-22 18:02:55.711000+00:00,2020-06-22 19:31:37.626000+00:00,5321915.0
8,UOL,['Bolsonaro'],promess feit jair bolsonar cort 30 carg fic papel,Promise made by Jair Bolsonaro to cut 30% of positions stays on paper,0.1000000014901161,-0.3000000119209289,0.1000000014901161,0.3000000119209289,False,2020-05-26 00:32:29.435000+00:00,2020-05-26 09:03:14.290000+00:00,30644855.0
9,UOL,"['Weintraub', 'Bolsonaro']",bolsonar critic particip weintraub protest,Bolsonaro criticizes Weintraub's participation in protest,-0.2000000029802322,-0.4000000059604645,0.2000000029802322,0.4000000059604645,False,2020-06-16 01:31:53.115000+00:00,2020-06-16 04:04:42.875000+00:00,9169760.0
10,UOL,['Moro'],aras contr apreensã celul carl zambell troc mensagens mor,"Aras is against seizure of carla zambelli's cell phone, who exchanged messages with Moro",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-01 13:01:07.350000+00:00,2020-05-01 18:01:25.021000+00:00,18017671.0
11,O Antagonista,['Bolsonaro'],flávi bolsonar pass ter “ for privilegi retroat ”,"Flávio Bolsonaro began to have ""retroactive privileged forum""",0.0,-0.5,0.0,0.5,False,2020-06-25 20:03:26.176000+00:00,2020-06-25 21:31:05.976000+00:00,5259800.0
12,Folha de SP,['Bolsonaro'],fras bolsonar sobr armar popul rejeit 72 apont datafolh,"Bolsonaro's phrase about arming population is rejected by 72%, points Datafolha",-0.1000000014901161,-0.5,0.1000000014901161,0.5,False,2020-05-31 12:04:39.403000+00:00,2020-05-31 14:32:08.763000+00:00,8849360.0
13,UOL,['Bolsonaro'],bolsonar culp govern cont,Bolsonaro blames governors: 'This account is not mine',-0.6000000238418579,-0.8999999761581421,0.6000000238418579,0.8999999761581421,False,2020-04-29 20:31:47.669000+00:00,2020-04-30 00:30:55.540000+00:00,14347871.0
14,O Antagonista,['Bolsonaro'],bolsonar palavr,Bolsonaro without words,0.6000000238418579,0.4000000059604645,0.6000000238418579,0.4000000059604645,False,2020-06-18 12:32:24.521000+00:00,2020-06-18 13:04:14.204000+00:00,1909683.0
15,Folha de SP,['Lula'],após lul queiroz prefeitur promov encant atiba,"After Lula and Queiroz, city hall promotes 'charms' of Atibaia",0.2000000029802322,-0.1000000014901161,0.2000000029802322,0.1000000014901161,False,2020-06-20 07:02:25.520000+00:00,2020-06-20 11:31:13.161000+00:00,16127641.0
16,O Antagonista,['Bolsonaro'],bolsonar retom viagens brasil redut petist,Bolsonaro resumes travels in Brazil in ptista stronghold,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,False,2020-06-26 16:04:18.503000+00:00,2020-06-26 18:03:54.484000+00:00,7175981.0
17,UOL,"['Bolsonaro', 'Lula']",eduard bolsonar intim process lul herdeir maris,Eduardo Bolsonaro is subpoenaed in lula's lawsuit and Marisa's heirs,0.0,-0.800000011920929,0.0,0.800000011920929,False,2020-04-28 17:02:40.784000+00:00,2020-04-29 01:31:35.293000+00:00,30534509.0
18,R7,['Moro'],mor diz ninguém séri eua question suprem,Moro says no one serious in the U.S. questions the Supreme,-0.4000000059604645,-0.6000000238418579,0.4000000059604645,0.6000000238418579,False,2020-06-02 20:05:10.978000+00:00,2020-06-02 21:01:59.779000+00:00,3408801.0
19,O Antagonista,['Moro'],bomb atôm mor,Moro's atomic bomb,0.2000000029802322,0.5,0.2000000029802322,0.5,False,2020-05-13 11:02:01.028000+00:00,2020-05-13 14:01:51.596000+00:00,10790568.0
20,O Antagonista,['Guedes'],mai avis planalt coronavouch decrescent pass alcolumbr procur gued,Maia warns Planalto that decreasing coronavoucher does not pass; Alcolumbre procura Guedes,0.0,-0.5,0.0,0.5,False,2020-06-26 21:32:31.752000+00:00,2020-06-26 23:32:12.979000+00:00,7181227.0
21,R7,"['Bolsonaro', 'Moro']",respost bolsonar mor critic ofens bravat,"In response to Bolsonaro, Moro criticizes 'offenses or bravado'",-0.1000000014901161,-0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-06-01 15:32:12.901000+00:00,2020-06-01 23:33:06.803000+00:00,28853902.0
22,G1,"['Bolsonaro', 'Heleno']",helen diz refer intervençã milit ameac sobr apreensã celul bolsonar,Heleno says he did not refer to military intervention in threat over seizure of bolsonaro mobile phone,-0.3000000119209289,-0.699999988079071,0.3000000119209289,0.699999988079071,False,2020-05-28 13:32:21.295000+00:00,2020-05-28 16:31:48.309000+00:00,10767014.0
23,O Antagonista,['Bolsonaro'],aras dev rejeit ped apreensã celul bolsonar,Aras should reject request for seizure of bolsonaro mobile phone,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-05-26 21:31:39.184000+00:00,2020-05-27 00:05:57.190000+00:00,9258006.0
24,R7,['Bolsonaro'],bolsonar abre crédit socorr r 60 bilhõ estad,Bolsonaro opens r$ 60 billion relief credit to states,0.2000000029802322,0.0,0.2000000029802322,0.0,False,2020-06-05 07:31:45.461000+00:00,2020-06-05 14:32:36.061000+00:00,25250600.0
25,R7,['Guedes'],fiador ajust fiscal paul gued diz mansuet alme,"'The guarantor of the fiscal adjustment is Paulo Guedes', says Mansueto Almeida",0.0,0.0,0.0,0.0,False,2020-06-15 11:31:59.198000+00:00,2020-06-15 13:04:18.929000+00:00,5539731.0
26,G1,['Bolsonaro'],pm afast após public red social agred manifest contrári bolsonar sp,PM is removed after publishing on social network that would assault protesters opposed to Bolsonaro in SP,-0.2000000029802322,-0.699999988079071,0.2000000029802322,0.699999988079071,False,2020-06-08 21:03:16.857000+00:00,2020-06-08 22:34:31.785000+00:00,5474928.0
27,R7,['Lula'],pf faz 6 prisõ oper mir exministr lul,PF makes 6 arrests in operation that targets lula's former minister,0.1000000014901161,-0.5,0.1000000014901161,0.5,False,2020-06-25 15:02:13.371000+00:00,2020-06-25 21:03:51.825000+00:00,21698454.0
28,R7,['Moro'],defes mor acompanh depoiment pf,Moro defense follows testimonials in PF,0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-05-11 19:31:47.275000+00:00,2020-05-11 22:31:54.432000+00:00,10807157.0
29,Folha de SP,['Weintraub'],vez tod weintraub,"Once and for all, out Weintraub",0.1000000014901161,0.2000000029802322,0.1000000014901161,0.2000000029802322,False,2020-06-01 07:04:06.705000+00:00,2020-06-01 16:32:37.544000+00:00,34110839.0
30,G1,['Bolsonaro'],bolsonar ministr empresári vã pé reuniã toffol stf,"Bolsonaro, ministers and businessmen go on foot to meeting with Toffoli in the Supreme Court",0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,False,2020-05-07 15:02:33.009000+00:00,2020-05-07 15:31:20.673000+00:00,1727664.0
31,R7,['Salles'],liv jr entrev ricard sall nest sext 17h,Live JR interviews Ricardo Salles this Friday at 5 pm,0.3000000119209289,0.0,0.3000000119209289,0.0,False,2020-06-05 15:03:29.642000+00:00,2020-06-05 20:02:48.061000+00:00,17958419.0
32,Folha de SP,['Bolsonaro'],dor ped reuniã govern bolsonar clim paz,Doria calls for meeting of governors with Bolsonaro in a climate of peace,0.4000000059604645,0.1000000014901161,0.4000000059604645,0.1000000014901161,False,2020-05-20 17:03:56.404000+00:00,2020-05-20 19:01:37.355000+00:00,7060951.0
33,R7,['Moro'],integr govern mor fez estardalhac,"For a member of the government, Moro made a fuss",0.1000000014901161,-0.699999988079071,0.1000000014901161,0.699999988079071,False,2020-05-22 22:32:17.655000+00:00,2020-05-22 23:02:45.168000+00:00,1827513.0
