id,clean_text,processed_text
4,"	em um dia normal no meu quintal tava
chovendo muito e tava escorregando muito depois
da chuva passa fui no meu quintal com meu
irmão e la achamos uma pedra brilhante ela
era muito bonita levei ela pra dentro de
casa pra descobrir aqui se tratava  um
mês tentando descobrir e acabei descobrindo que
essa pedra era rara",dia norm quint tav chov tav escorreg chuv pass quint irm la ach pedr brilh bonit lev pra dentr cas pra descobr aqu trat mê tent descobr acab descobr pedr rar
11,"
	certo dia em um dia chuvoso com trovões e relãmpangos um
menino chamado zeca estava em casa quando escutou um barulho no
telhado como se fosse algo que caiu zeca ficou super curioso e então
ele decidiu que quando acabasse a chuva ele iria sair para ver o que era
quando a chuva parou ele disse
	— vou ir lá fora para ver o que era aquele barulho ele disse sozinho
e então ele foi ele estava procurando e procurando e nada e então ele sentou
no banco que tinha no jardim e então ele ficou imaginando o que era quando
de repente ele ver algo brilhando e então ele foi ver o que era e lá estava um
diamante lindo
	zeca olhava incrédulo ele admirava o diamate lindo e então ele disse para
si mesmo
	— vou ir em uma loja aqui perto para ver se é verdadeiro
	e então ele foi chegando lá ele foi falou com o moço que se chamava elias
ele mostrou o diamante para elias e elias disse
	— isso só pode ser falso zeca explicou tudo pra ele e então elias falou
que iria fazer um teste para ver se é verdadeiro quando ele terminou o teste elias
disse
	— não é falso você pode vendelo mas zeca disse que não queria e então ele
comprou uma caixinha transparente e colocou o diamante dentro ele se despediu de
elias e voltou todo contente com seu diamante
	ele ficou umaginando quem jogou o diamante no telhado mas de ficou
	pensando não faria sentido alguém jogar um diamante e então de  checkou a uma 
conclusão que deus enviou para ele na cabeça de fazia sentido
	e zeca coocou o diamante do lado de sua cama assim todas as
vezes que ele acordava ele via o diamante e ele fazia tudo com esse diamante 
ele estava doido ou obsecado pelo diamante e ele viveu feliz ao lado de seu querido 
diamante",cert dia dia chuv trov relãmpang menin cham zec cas escut barulh telh alg caiu zec fic sup curi ent decid acab chuv iri sair ver chuv par diss — vou ir lá ver barulh diss so ent procur procur nad ent sent banc jardim ent fic imagin repent ver alg brilh ent ver lá diam lind zec olh incrédul admir diamat lind ent diss si — vou ir loj aqu pert ver verd ent cheg lá fal moç cham eli mostr diam eli eli diss — pod fals zec explic tud pra ent eli fal iri faz test ver verd termin test eli diss — fals pod vendel zec diss quer ent compr caix transpar coloc diam dentr desped eli volt tod cont diam fic umagin jog diam telh fic pens far sent alguém jog diam ent check conclus deu envi cabeç faz sent zec cooc diam lad cam assim tod vez acord via diam faz tud diam doid obsec diam viv feliz lad quer diam
13,"
	era uma vez um cachorro que estava
sofrendo muito na rua então resolvi aju
dalo levei ele pra minha casa e cuidei
dele agora ele foi morar com uma fami
lia conhecida e esta bem feliz se eu tive
sse pegado ele ele estaria morto ou doente",vez cachorr sofr rua ent resolv aju dal lev pra cas cuid agor mor fam lia conhec bem feliz sse peg est mort doent
14,"
	naquele dia chuvoso eu encontrei uma
pedra brilhante no momento eu não sabia a que
era então  a casar quando sei que era 
um diamante fiquei muito feliz logo limpei ele
e levei en um lugar para ver se era verda
deira pois achava que era falso mas eu não a
vendi pois tive a ideia que o diamante daria um
lindo anel de casamento para minha esposa",naquel dia chuv encontr pedr brilh moment sab ent cas sei diam fiq feliz log limp lev en lug ver verd deir poi ach fals vend poi ide diam dar lind anel cas esp
15,"
	nesse dia eu estava com meu primo e quando nois estavamos
no quintal de casa brincando na chuva jogando bola
meu primo jogou a bola na rua e nois formos pegar a bola quando
nois estava voltando para casa ele encontrou uma pedra muito
brilhante
	quando nois fomos pegar a pedra era de diamante nos pegamos
a pedra e levamos para casa e mostramos para meu pai ele pegou 
gardou e no outro dia ele levou para uma joalheria e viu que tinha muito
valor e vendeu para mulher",ness dia prim noil estav quint cas brinc chuv jog bol prim jog bol rua noil peg bol noil volt cas encontr pedr brilh noil peg pedr diam peg pedr lev cas mostr pai peg gard outr dia lev joalh viu val vend mulh
16,"
	né um dia muito chuvoso com varios raios caindo do
ceu um raio muito forte que acabou com a energia da cidade
toda neste raio vinha trazendo um diamante muito poderoso o po
der que ele dava era absurdo se a pessoa que estivesse com esse
diamante teria tudo que ele quissece no dia seguinte em que eu acordei
e fui para for de casa com meu amigo rafael estava tudo alagado
mais quando eu olho para o chão vejo um burraco enorme em
dava para ver uma coisa brilhando e quando eu vou ver mais de per
to vejo que era um diamante mais meu braço não cabia no buraco
então eu pedi para o rafael pegar mais quando ele a consseguiu pegar
ele falou que queria comer algo então elel falou queria uma pizza
e uma pizza apareceu na frente te dele e foi ai que descobrimos que
o diamante era poderoso então neste mesmo dia fizemos tudo o que 
desejamos e o diamante que achavamos seria muito importante para nos
então nunca contariamos pra ninguem",né dia chuv vari rai caind ceu rai fort acab energ cidad tod nest rai vinh traz diam poder po der dav absurd pesso diam tud quissec dia seguint acord cas amig rafael tud alag olh chã vej burrac enorm dav ver cois brilh vou ver per to vej diam braç cab burac ent ped rafael peg conssegu peg fal quer com alg ent elel fal quer pizz pizz aparec frent ai descobr diam poder ent nest dia fiz tud desej diam achav import ent nunc contari pra ning
17,"
certo dia uma menina achou uno pedra brilhante após a chuva mal
sabia ela que a pedra evem diamante a mãe dela logo quitou estamos
ricos
	a menina logo perguntou por quê mãe a mãe respondeu filha isso
e um diamante e vale muito dinheiro nós podemos mudar para um
vido melhor e grita a morido a m o r r r pego o carro e
vai eo no lugar onde compra pedras valiosas
— ok veronica so vou tomar um banho e me arrumar e ja vou
falo o pai que logo gritou maria minha filha voce que ir comigo
ela logo responde sim pai so vou pegar uma coisas do meu
quarto",cert dia menin ach uno pedr brilh após chuv mal sab pedr ev diam mãe log quit ric menin log pergunt quê mãe mãe respond filh diam val dinh pod mud vid melhor grit mor m r r r peg carr vai eo lug ond compr pedr vali — ok veron so vou tom banh arrum ja vou fal pai log grit mar filh voc ir comig log respond sim pai so vou peg cois quart
20,"
em un dia mesnae acerdi e chovia muito
olhei para furo mão esuesseguio vir mairo envardo
trovegando muito aenseo no quule dia
depuis do chuvo olhei me meu quenvoi
e vi algo brilhando  meu quentai
e vi una pedra presioso fui chegandu pirtel
quandu en vi era um diamante",un dia mesna acerd chov olh fur mão esuessegui vir mair envard troveg aense quul dia depuil chuv olh quenvo vi alg brilh quent vi una pedr presi chegandu pirtel quandu en vi diam
22,"
eu e pedro estava em casa depois nos foi pra escola

ai depois nós foi para casa mais estava chuvendo
ai mesmo chuvendo nós foi ai nós estava chegando
em casa ai nós acho um diamante no chão
ai eu e pedro nós foi no banco e guardo",pedr cas pra escol ai cas chuv ai chuv ai cheg cas ai ach diam chã ai pedr banc guard
26,"as meninas do potes de tintas t
uma vez eu e minha primas nós encontramos um potes de tintas 
í nós decidimos pintar as paredes dos nosso quartos é nos desenhamos 
e pintamos nos fez nossa familia nossos colegas e nossos professores  
é nós jogamos roupas para o lado roupas para o outro pintamos  
até o guarda  roupas e nos melamos tudo e depois nois foi para  
sala é pintamos tudo é também nossos pais tudo saido e nois  
ficamos sozinhas então nos pintamos a sala toda e depoís nos duas  
fomos  para a conzinha é também eu pínteín o meu quintal nos gosta  
muitos de pinturas nois ama desnha e pinta eu é minha prima  
raissa nós pedia muito para nossos pais botar a gente na escola  
de arte é eles botaram nois na escola de artes é a gente fez muitas 
pinturas é um dia a gente foi chamada para fazer uma obra de artes um 
desenho de uma familia a familia gostou muitos da pintura e depois agente 
foi chamada para fazer uma pintura num museu por que era uma  
inauguração do museu e as pessoas amaram nossa pintura é nos fizemos  
suseço depois eu fiz meus  anos éeu fiz uma festa e o tema era  
de artes depois eu vireíi artista eu e minha prima é também  
ela fez os  ano delas ela comemorou no museu é eu fiz no colegio  
eligio olmeida depois eu é a minha príma nós hoje nós somos muitos  
feliz pois eu hoje agradeçer a deus por me dado esse dom",menin pot tint t vez prim encontr pot tint í decid pint pared quart desenh pint fez famil coleg profes jog roup lad roup outr pint guard roup mel tud noil sal pint tud pal tud said noil fic so ent pint sal tod depoí dua con pínteín quint gost muit pint noil ama desnh pint prim raiss ped pal bot gent escol art bot noil escol art gent fez muit pint dia gent cham faz obr art desenh famil famil gost muit pint agent cham faz pint mus inaugur mus pesso am pint fiz suseç fiz ano éeu fiz fest tem art vireí artist prim fez ano comemor mus fiz colegi eligi olme prím hoj muit feliz poi hoj agradeç deu dad dom
32,"a kétlen e sua mãe
p era uma vez uma linda menina chamada
kétlen é sua mãe katlene
em um belo dia kétlen estava na escola e sua mãe no
trabalho a escola de ketler tinha terminado então
ela foi para a casa quando ela chegou ema viu os
pote de tinta era isso do armario então ela oi até la
pegar quando ela pegou ela queria pinta a parede de
meu quarto alguns momento depois ela terminou
e sua mãe chegou na hora
p ai ela foi ate sua cama e se escondeu em baixo da ca
ma quando sua nãe vio a pintura ela ficou furiosa mas
ficou calma por que ela estava muito 
p então no dia seguinte ketlen vio suas roupas no chào
e tambem nao tinha mais pintura e fim
fim s",kétlen mãe p vez lind menin cham kétlen mãe katlen bel dia kétlen escol mãe trabalh escol ketl termin ent cas cheg ema viu pot tint armari ent oi la peg peg quer pint pared quart algum moment termin mãe cheg hor p ai ate cam escond baix ca ma nãe vio pint fic furi fic calm p ent dia seguint ketlen vio roup chà tamb nao pint fim fim s
35,"a   
av arvore ficou bimai e eu facabei av istando o meu 
marido morto ele con ecou a conversa comigov  laviano 
s conversonda sobreo massa brilhar quando de 
repente con ecou a chouver e então veio a 
nossa filha para onde estavamos e uana 
disse que eu estava linda e elele tanban estava 
linalo mais desois de conversano s nuto ele 
pegou una liaileto e foi enb ora e eu acabei 
me acordando e p ercebi que era tudo un sonho
 e eu coneceu a chorar pois meu marido estavan 
morto e fim",av arvor fic bim facab av ist marid mort con ecou convers comigov lavi s conversond sobre mass brilh repent con ecou chouv ent vei filh ond estav uan diss lind elel tanban linal desoil convers s nut peg una liailet enb ora acab acord p erceb tud un sonh conec chor poi marid estavan mort fim
36,"a menina artista
a menina pintora
a  que gosta de pintar
a menina que gosta de tinta",menin artist menin pin gost pint menin gost tint
40,"as tintas esquecidas no meu armáriot
p
eu achei três cores de tintas no  meu armário 
percebi que essas cores de tinta eram da minha 
mãe á quatro anos atrás e ela me deu as cores que 
eu queria tanto  
tinha verde azul e amarelo usei todas para fazer
uma pintura fiz um mar uma floresta e caiu um 
pinguinho de amarelo na folha pensei que tinha estragado
omeu desenho pouco minutos pensei em fazer um sol
um sol radiante depois eu vasculhei um pouco mais 
e achei uma tinta vermelha oque eu deveria fazer com 
aquela 
em vez de eu guardar aquela tinta eu fiz um 
cartão de dia das mães e depois dos pais  meu pai e
minha mãe amou e eu amei aqule dia ",tint esquec armáriot p ach trê cor tint armári perceb cor tint mãe á quatr ano atrás deu cor quer tant verd azul amarel use tod faz pint fiz mar florest caiu ping amarel folh pens estrag omeu desenh pouc minut pens faz sol sol radi vasculh pouc ach tint vermelh oqu dev faz vez guard tint fiz cart dia mão pal pai mãe amou ame aqul dia
42,"bom eu e minha amiga débora fomos brincar na casa assistir vídeos
 e brincar quando vi em cima do armário tinha alguns potes de tinta que
minha mãe tinha comprado para mim e eu e minha amiga tivemos a brilha
nte ideia de redecorar o meu quarto pintamos a parede com vários animais as
tintas eram dos tons que eu mais gostava com bastante gliter um tempo depois
terminamos de pintar chamamos minha mãe para ver se ela gostava eu pens
ava que ela não iria gostar mais enfim ela gostou da nossa pintura então eu 
e a minha amiga fomos gravar  um vídeo da pintura para mostrar para os
nossas amigos e todos gostaram e até queriam que agente fizese uma pintura no
quarto deles tanbén fomos em casa buscar as tintas quando vimos que não
tinha mais nenhuma pintura na parede do quarto e todas as roupas esta
vam fora da gaveta todas espalhadas eplo chão tentamos arrumar toda
aquela bagunça mais minha mãe chegou e viu tudo ficou muito bra
va agente ficou pensando quem tinha bagunçado tudo aí que vimos
não tinha mais nada na parede do quarto então quer dizer que os 
animais desenhados na parede criaram vida e fizeram uma verdadei
ra bagunça",bom amig déb brinc cas assist víde brinc vi cim armári algum pot tint mãe compr mim amig brilh nte ide redecor quart pint pared vári animal tint tom gost bast glit temp termin pint cham mãe ver gost pem ava iri gost enfim gost pint ent amig grav víde pint mostr amig tod gost quer agent fizes pint quart tanbén cas busc tint vim nenhum pint pared quart tod roup vam gavet tod espalh epl chã tent arrum tod bagunç mãe cheg viu tud fic bra va agent fic pens bagunç tud aí vim nad pared quart ent qu diz animal desenh pared cri vid fiz verdad ra bagunç
46,"chovia muito naquele dia com trovões muito
altos vindos do ceu e depois que a chuva passou
encontrei no quintal da minha casa
uma pedra muito brilhante era um
diamante",chov naquel dia trov alt vind ceu chuv pass encontr quint cas pedr brilh diam
