,sentence_pair_id,premise,hypothesis,relatedness_score,entailment_judgment,premise_processed,hypothesis_processed
0,1,"A gente faz o aporte financeiro, é como se a empresa fosse parceira do Monte Cristo.",Fernando Moraes afirma que não tem vínculo com o Monte Cristo além da parceira.,2.0,0,"['gente', 'fazer', 'aporte', 'financeiro', 'empresa', 'parceiro', 'Monte', 'cristo']","['Fernando', 'moraes', 'afirmar', 'vínculo', 'Monte', 'cristo', 'além', 'parceiro']"
1,2,"Em 2013, a história de como Walt Disney convenceu P.L.",P.L.Travers era completamente contra a adaptação de Walt Disney.,2.25,0,"['2013', 'história', 'walt', 'disney', 'convencer', 'pl']","['pltraver', 'completamente', 'contra', 'adaptação', 'walt', 'disney']"
2,3,"David Silva bateu escanteio, Kompany escalou as costas de Chiellini e o zagueiro marcou contra.","David Silva cobrou escanteio, o zagueiro se apoiou em Chiellini e cabeceou.",3.75,0,"['david', 'Silva', 'bater', 'escanteio', 'kompany', 'escalar', 'costa', 'chiellini', 'zagueiro', 'marcar', 'contra']","['david', 'Silva', 'cobrar', 'escanteio', 'zagueiro', 'apoiar', 'chiellini', 'cabecear']"
3,4,"Para os ambientalistas, as metas anunciadas pela presidente Dilma foram um avanço.","Dilma aproveitou seu discurso ontem, na Conferência de Desenvolvimento Sustentável pós-2015 para anunciar desde já essas metas.",2.75,0,"['ambientalista', 'meta', 'anunciar', 'presidente', 'dilmar', 'avanço']","['dilmar', 'aproveitar', 'discurso', 'ontem', 'conferência', 'desenvolvimento', 'sustentável', 'pós2015', 'anunciar', 'desde', 'meta']"
4,5,"De acordo com a PM, por volta das 10h30 havia 2 mil militantes no local.",O protesto encerrou por volta de 12h15 (horário local).,2.0,0,"['acordo', 'pm', 'voltar', '10h30', 'haver', '2', 'mil', 'militante', 'local']","['protesto', 'encerrar', 'volta', '12h15', 'horário', 'local']"
5,6,A programação entra em cartaz nesta quinta-feira (24) e segue até a próxima quarta-feira (30).,A animação “Hotel Transilvânia 2” entra em cartaz nos cinemas da Paraíba nesta quinta-feira (24).,3.0,0,"['programação', 'entrar', 'cartaz', 'em este', 'quintafeira', '24', 'seguir', 'próximo', 'quartafeira', '30']","['animação', 'hotel', 'transilvânia', '2', 'entrar', 'cartaz', 'Cinemas', 'paraíba', 'em este', 'quintafeira', '24']"
6,7,"Claudia Leitte, porém, ainda não escolheu o ajudante.",Somente Claudia Leitte não concordou plenamente com o colega.,2.25,0,"['claudia', 'leitte', 'porém', 'ainda', 'escolher', 'ajudante']","['somente', 'claudia', 'leitte', 'concordar', 'plenamente', 'colega']"
7,8,As informações são da Superintendência de Trânsito e Transporte de Salvador (Transalvador).,"Ainda segundo a Transalvador, não há informações sobre o estado de saúde dela.",2.0,0,"['informação', 'superintendênciar', 'trânsito', 'transporte', 'salvador', 'transalvador']","['ainda', 'segundo', 'transalvador', 'informação', 'sobre', 'estado', 'saúde']"
8,9,"Os sintomas da zika vírus, dengue e febre chikungunyia, são parecidos.",Foram registrados 316 casos suspeitos de Febre Chikungunya.,2.25,0,"['sintoma', 'zika', 'vírus', 'dengue', 'febre', 'chikungunyia', 'parecir']","['registrar', '316', 'caso', 'suspeito', 'febre', 'chikungunya']"
9,10,Tenho orgulho de ter feito parte da construção do PSOL.,"Ajudei a construir o PSOL, e disso muito me orgulho.",5.0,2,"['orgulhar', 'ter', 'fazer', 'parte', 'construção', 'psol']","['ajudar', 'construir', 'psol', 'de isso', 'orgulho']"
