id,title,fake_news,clean_title,stemmed_title,lemmatized_title
1,Espaço dedicado para os eleitores do Bolsonaro explicarem a retirada da INSULINA do SUS.,1,espao dedicado eleitores bolsonaro explicarem retirada insulina sus,espao dedicado eleitor bolsonaro explicarem retirada insulina su,espao dedicado eleitores bolsonaro explicarem retirada insulina sus
3,Você sabia que Benedita da Silva já foi embaixadora em News York e nem inglês falava! Elá lembrado do escândalo do aluguel da limusine nos USA por Benedita Percebo que a petralhada tem uma síndrome do esquecimento oportuno! Mas nós estamos ajudando a lembrar!,1,voc sabia benedita silva j embaixadora news york ingls falava el lembrado escndalo aluguel limusine usa benedita percebo petralhada sndrome esquecimento oportuno ns ajudando lembrar,voc sabia benedita silva j embaixadora news york ingl falava el lembrado escndalo aluguel limusin usa benedita percebo petralhada sndrome esquecimento oportuno ns ajudando lembrar,voc sabia benedita silva j embaixadora news york ingls falava el lembrado escndalo aluguel limusine usa benedita percebo petralhada sndrome esquecimento oportuno n ajudando lembrar
7,"Câncer no seio não precisa mais fazer cirurgia. Presidente Bolsonaro vai autorizar a importação dessa tecnologia de Israel. Embora chamado de machista, foi o único presidente que se lembrou em primeiro lugar das mulheres Vamos divulgar!",1,cncer seio precisa fazer cirurgia presidente bolsonaro vai autorizar importao dessa tecnologia israel embora chamado machista nico presidente lembrou primeiro lugar mulheres vamos divulgar,cncer seio precisa fazer cirurgia president bolsonaro vai autorizar importao dessa tecnologia israel embora chamado machista nico president lembrou primeiro lugar mulher vamo divulgar,cncer seio precisa fazer cirurgia presidente bolsonaro vai autorizar importao dessa tecnologia israel embora chamado machista nico presidente lembrou primeiro lugar mulheres vamos divulgar
14,"Tá aí o dono da revista VEJA, André Esteves, preso pela operação Lava Jato.",1,t dono revista veja andr esteves preso operao lava jato,t dono revista veja andr estev preso operao lava jato,t dono revista veja andr esteves preso operao lava jato
15,Jean Wyllys: Não foi isso o acordo @ggreenwald [...],1,jean wyllys acordo,jean wylli acordo,jean wyllys acordo
18,"Durante os governos Lula, Dilma e Temer, os aviões que transportavam homens da comitiva presidencial, bem como a tripulação, não tinham a permissão do Itamaraty para serem revistados. O sargento que foi preso na Espanha com 39 kg de cocaína em seu container de mão, já havia participado em de 56 voos de preparação do presidente Lula, 52 da PresidentA Dilma e 2 do Temer. Só foi preso agora porque sem comunicação prévia, o governo Bolsonaro retirou a inviolabilidade de bagagens diplomáticas nas comitivas presidenciais. Isso a imprensa não informa.",1,durante governos lula dilma temer avies transportavam homens comitiva presidencial bem tripulao permisso itamaraty serem revistados sargento preso espanha kg cocana container mo j havia participado voos preparao presidente lula presidenta dilma temer s preso agora porque comunicao prvia governo bolsonaro retirou inviolabilidade bagagens diplomticas comitivas presidenciais imprensa informa,durant governo lula dilma temer avi transportavam homen comitiva presidenci bem tripulao permisso itamarati serem revistado sargento preso espanha kg cocana contain mo j havia participado voo preparao president lula presidenta dilma temer s preso agora porqu comunicao prvia governo bolsonaro retir inviolabilidad bagagen diplomtica comitiva presidenciai imprensa informa,durante governos lula dilma temer avies transportavam homens comitiva presidencial bem tripulao permisso itamaraty serem revistados sargento preso espanha kg cocana container mo j havia participado voos preparao presidente lula presidenta dilma temer s preso agora porque comunicao prvia governo bolsonaro retirou inviolabilidade bagagens diplomticas comitivas presidenciais imprensa informa
26,"Sargento Manoel Silva Rodrigues da comitiva do bozo, preso pelo tráfico de drogas na Espanha, é pastor evangélico filiado ao PSL.",1,sargento manoel silva rodrigues comitiva bozo preso trfico drogas espanha pastor evanglico filiado psl,sargento manoel silva rodrigu comitiva bozo preso trfico droga espanha pastor evanglico filiado psl,sargento manoel silva rodrigues comitiva bozo preso trfico drogas espanha pastor evanglico filiado psl
27,Militar preso da FAB. O militar detido por drogas é filiado ao PT. Pronto! Resolvido o mistério.,1,militar preso fab militar detido drogas filiado pt pronto resolvido mistrio,militar preso fab militar detido droga filiado pt pronto resolvido mistrio,militar preso fab militar detido drogas filiado pt pronto resolvido mistrio
29,"Em áudio, Moro diz: será esse imbecil o presidente Dallagnol responde: infelizmente esta ameba é a nossa única escolha [o Bozo].",1,udio moro diz imbecil presidente dallagnol responde infelizmente ameba nica escolha bozo,udio moro diz imbecil president dallagnol respond infelizment ameba nica escolha bozo,udio moro diz imbecil presidente dallagnol responde infelizmente ameba nica escolha bozo
32,"ACM morreu em Julho de 2007, em um acidente de helicóptero. Poucas semanas antes fez um pronunciamento na tribuna do Senado, em plena vigência do 2 mandato de Lula, que até hoje não havia sido divulgado. Veja o que ele disse",1,acm morreu julho acidente helicptero poucas semanas antes fez pronunciamento tribuna senado plena vigncia mandato lula at hoje havia sido divulgado veja disse,acm morreu julho acident helicptero pouca semana ant fez pronunciamento tribuna senado plena vigncia mandato lula at hoje havia sido divulgado veja diss,acm morreu julho acidente helicptero poucas semanas ante fez pronunciamento tribuna senado plenum vigncia mandato lula at hoje havia sido divulgado veja disse
