tweet_text,sentiment
Mas tu não és feio :( @SavageFluxXx__,0
@SamaraPaivas Você que pensa :),1
te amo demais :( https://t.co/leUzS65WrG,0
@nicko_donis lindo! :),1
"@B_kirikihira Oi, tem sim! Visite nossos canais e saiba como esse projeto é incrivel :)",1
@leorrow o print ja ta aqui caso ele nao veja eu mostro pra ele :) https://t.co/aYTni3FI4Q,1
"@mika_mv_ affffff eu queria tanto :( fé que ano que vem, nois vai ta junta denovo CONFIO!!!!!!!!!!!!!!!",0
"@LATAM_CHI @LATAMAirlines Não tem outra palavra para definir o tratamento no embarque do vôo LA4624: RIDÍCULO! Até quando?!? Se continuarem assim, talvez no longo prazo vocês não estejam mais aí pra tentar se ajustar! :-(",0
"@_morasfh @essediafoilouco só q o menino kaka tem mundial, já neymar n :)(:",1
Eu ando de bike e ngm fala que eu sou homão da porra :(,0
bar :-( : ccd38912-60d1-438c-967e-c760767005a0,0
Continuam sendo minhas favs mesmo brigadas. :(,0
Sempre fui 80% sentimento e 20% razão... atualmente sou o inverso e me orgulho muito disso :),1
@214SL Mas o que houve? :(,0
queria fazer isso com o meu pai e a minha madrasta mas infelizmente não dá :( https://t.co/wICY5N3fhT,0
minhas lindas :( https://t.co/FbEoCx1yej,0
"@_mimyas A minha acaba de acabar, tenho que renovar o estoque :(",0
eu to me sentindo mal agora :(,0
eu tô quase sem nenhuma esperança :( https://t.co/iWNC6S5SNl,0
@jxurguisaturn ai sua mae eh mt minha sogra dos sonhos :(,0
@srwarlock Infelizmente vi bastante gente de que eu gosto muito caindo na manipulacao do Bonoro :(,0
"@M4rcos_diogenes Não é, vc é Meu amigo : )",1
meu pequeno tá ficando 1 aninho mais velho isso aÍ GENTE 3 aninhos de vida do meu amor!!!! :))))),1
meu answer não saiu de brasília e meu her ainda tá na staff caraca :(,0
me perguntem :( https://t.co/UG9hR7nAfj,0
"Um homem, que ficou paraplégico após um acidente em 2013, conseguiu ficar de pé e caminhar 100 metros agora, 5 anos depois, graças a um tratamento de estimulação elétrica na medula espinhal, feito nos EUA. Veja a matéria completa :) https://t.co/hw8nWekE4z",1
@bancadadeleao @AFN1982 @pedrobxavier Saudades! Já ia uma sandes dessas e copo de vinho! :) Bom apetite!,1
"@eduardissimo Tudo dela desde i don't Want it at all tem. Mas o contrato dela com ele foi firmado antes do escândalo todo, eu acho. :(",0
Venham às olaias fazer a vossa :))),1
@maju_haag não acredito nisso maju :(,0
Saudades do sol :(,0
Tirando q fiz uma prova hj de manhã o dia tá bom tbm kkk — Eu fiz uma agr a noite :) https://t.co/T4DKMitosM,1
@Anagabryelle7 boto fé :(,0
Semana de prova e nois so na ressaca :(,0
"@lovebyinfinity que tu é incrivelmente maravilhosa, eu amo tua conta demais e voce é MUITO forte, mesmo eu nunca tendo falado com você. você sempre pareceu um amor, e eu to MUITO feliz que eu te segui e vi o quanto voce é incrivel :) ❤️",1
"@B14JH Eu achei!! Ish, muito obrigada. ❤ Já passou a dorzinha? Eu espero que tenha passado, ó. Ah, e Bom dia. :)",1
@mokutonojutsu vergonha viu :((,0
"pra ficar melhor, só faltava eu não tá tendo uma crise de enxaqueca : (",0
