clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
nao come mel morde marimbondo,nao com mel mord marimbond,nao comer mel morde marimbor,0
nao tem pinto tem orgulho,nao tem pint tem orgulh,nao ter pinto ter orgulho,0
nao ve essa merda crepusculo pra isso temos cinebiografia chuck norris,nao ve essa merd crepuscul pra isso tem cinebiograf chuck norr,nao ve esse merda crepusculo pra isso ter cinebiografia Chuck norri,0
nao tapa bundinha cotovelada costas,nao tap bundinh cotovel cost,nao tapa bundinho cotovelar costa,0
diminutivo inho nao acompanha trajetoria homem verdade,diminut inho nao acompanh trajetor hom verdad,diminutivo inho nao acompanhar trajetorio homem verdade,1
tem saco temos culhoes,tem sac tem culho,ter saco ter culhoe,0
esse futebol hoje politicamente correto profissional nao coisa homem verdadee mariquinhafutebol tem porrada,esse futebol hoj polit corret profissional nao cois hom verdade mariquinhafutebol tem porr,esse futebol hoje politicamente correto profissional naoer coisa homem verdadee mariquinhafutebol ter porrar,1
agua essencial coisa maricas cerveja essencial,agu essencial cois maric cervej essencial,agua essencial coisa maricas cerveja essencial,1
nao tem barriga tem calo sexual,nao tem barrig tem cal sexual,nao ter barriga ter calo sexual,0
nao manda ajustar calca deixa espaco pra smith wesson entrar acao,nao mand ajust calc deix espac pra smith wesson entrar aca,nao mandar ajustar calca deixar espaco pra Smith Wesson entrar acao,0
morte aos hipsters camisetas cores citricas morte meias coloridinhas cuequinhas alegres,mort aos hipsters camiset cor citric mort mei coloridinh cuequinh alegr,morte a o hipster camiseto cor citrico morte meio coloridinho cuequinha alegr,0
nao tem namorada tem femea temporaria,nao tem namor tem fem tempor,nao ter namorar ter femea temporar,1
apesar serem australia acdc banda homens verdade,apes ser austral acdc band homens verdad,apesar ser australia acdc banda homem verdade,0
come frango cru nao passarinho,com frang cru nao passarinh,comer frango cru nao passarinho,0
fato tem muita mulher muito mais muito mariquinha fresco ai,fat tem muit mulh muit mais muit mariquinh fresc ai,fato ter muito mulher muito mais muito mariquinha fresco ai,1
nao usa capa chuva nada tsunami,nao usa cap chuv nad tsunam,nao usar capa chuva nada tsunamir,1
quem nao gosta acdc nao,quem nao gost acdc nao,quem nao gostar acdc nao,1
jamais confunda homem porco sabe bem hora lavar maos,jam confund hom porc sab bem hor lav maos,jamais confundir homem porco saber bem hora lavar mao,0
usa barba bigode essa coisa pelinha lisinha pra gente bunda mulher,usa barb bigod essa cois pelinh lisinh pra gent bund mulh,usar barba bigode esse coisa pelinho lisinhar pra gente bundo mulher,1
pos moderno nao coisa portanto,pos modern nao cois portant,po moderno nao coisa portanto,1
pega forte cintura femea essa coisa delicadeza nessas horas desses jonnys manes citricos bunda mole,peg fort cintur fem essa cois delicad ness hor dess jonnys man citric bund mol,pegar forte cintura femea esse coisa delicadezo em esse hora de esse jonnys mane citricos bunda mole,1
nao pode vegetariano gente sempre topo cadeia alimentar,nao pod vegetarian gent sempr top cad aliment,nao poder vegetariano gente sempre topo cadeiar alimentar,1
fato estamos plena extincao mundo sendo dominado bibasexuais creminhosexuais saladinhasexuais metrosexufrangas,fat estam plen extinca mund send domin bibasexu creminhosexu saladinhasexu metrosexufrang,fato estar pleno extincao mundo ser dominar bibasexual creminhosexual saladinhasexual metrosexufranga,1
somos foco resistencia antifrangas modernas sem culhoes,som foc resistenc antifrang modern sem culho,ser foco resistencer antifranga moderno sem culhoe,0
confissoes hora banho toma sem pressa curte agua nao limpa umbigo soca bronha melhor parte,confisso hor banh tom sem press curt agu nao limp umbig soc bronh melhor part,confissoe hora banho tomar sem pressa curte aguo nao limpa umbigo soca bronho bom parte,1
vc tem namorado diz nao olha gostosas nao bate umazinha nunca fuja franguinha sem carater,vc tem namor diz nao olha gostos nao bat umazinh nunc fuj franguinh sem carat,vc ter namorar dizer nao olhar Gostosas nao bater umazinha nunca fuja franguinhr sem carater,1
rt cientificamente comprovado nao curte pornozinho nao,rt cientif comprov nao curt pornozinh nao,rt cientificamente comprovar nao curte pornozinho nao,1
rt terry richardson fotografo calendario pirelli profissao,rt terry richardson fotograf calendari pirell profissa,rt terry richardson fotografo calendario pirelli profissaor,0
gosta quando sem rodeios,gost quand sem rodei,gostar quando sem rodeio,0
enciclopedia futebol hora sagrada churrasco cerveja gelada nao gosta vaza femeas shopping,encicloped futebol hor sagr churrasc cervej gel nao gost vaz fem shopping,enciclopedir futebol hora sagrar churrasco cervejo gelar nao gostar vaza femeo shopping,1
ao mestre carinholuiz carlos alborghetti jornalista radialista culhoes rip,ao mestr carinholuiz carl alborghett jornal radial culho rip,a o mestre Carinholuiz Carlos alborghettir jornalista radialista culhoes Rip,0
claro nao comentou nada esteve algumas horas luto reflexao sobre obra brinde ao mestre,clar nao coment nad estev algum hor lut reflexa sobr obra brind ao mestr,claro nao comentar nada estar algum hora luto reflexaor sobre obra brinde a o mestre,0
nao acompanha time meninas,nao acompanh tim menin,nao acompanhar time meninas,1
manda salve pra imagem semana te amamos,mand salv pra imag seman te amam,mandar salver pra imagem semano te amamos,0
fez servico cara silvio berlusconi,fez servic car silvi berluscon,fazer servico cara silvio berlusconi,0
mesmo tem filhos territorios escolha,mesm tem filh territori escolh,mesmo ter filho territorio escolha,1
rt nao paga pau ele paga mocreia tirar zica,rt nao pag pau ele pag mocr tir zic,rt nao pagar pau ele pagar mocreia tirar zica,1
so pra deixar claro nao faz clube macho turminha foda essas merdas machistas baitolas recatadas,so pra deix clar nao faz club mach turminh fod essas merd machist baitol recat,so pra deixar claro nao fazer clube macho turminho foda esse merdo machista baitola recatar,1
rt pro construcao resume duas coisas concreto madeira,rt pro construca resum duas cois concret madeir,rt pro construcao resume dois coisa concreto Madeira,1
rt eh akele q sabe procriar sem deixar vestigios,rt eh akel q sab procri sem deix vestigi,rt eh akele q saber procriar sem deixar vestigio,1
sugestoes melhor canonizar punheta santa punheta sagrada bronha domingo melhor amiga,sugesto melhor canoniz punhet sant punhet sagr bronh doming melhor amig,sugestoes bom canonizar punheta santo punheto sagrar bronha domingo bom amiga,1
sugestoes melhor colocar chuck norris protagonista serie tv hs,sugesto melhor coloc chuck norr protagon seri tv hs,sugestoes bom colocar chuck norris protagonista serieo tv hs,0
sugestoes melhor menos calcinha preta radios alias sem calcinha bem melhor,sugesto melhor men calcinh pret radi ali sem calcinh bem melhor,sugestoes bom menos calcinha preto radio alia sem calcinha bem bom,0
melhores mulheres sao querem trepar voce piores sao nao querem lemmy motorhead,melhor mulh sao quer trep voc pior sao nao quer lemmy motorhead,bom mulher sao querer trepar voce piores sao nao querer lemmy motorhead,1
homem verdade nao sabe desenhar pinto nao conhece pau tem honre pinto,hom verdad nao sab desenh pint nao conhec pau tem honr pint,homem verdade naoer saber desenhar pinto nao conhecer pau ter honre pinto,1
viver dignidade conceito extincao plena aqui tem foco resistencia,viv dignidad conceit extinca plen aqu tem foc resistenc,viver dignidade conceito extincao pleno aqui ter foco resistencer,0
gostar mulher sem vergonha twittealgomuitoantigo,gost mulh sem vergonh twittealgomuitoantig,gostar mulher sem vergonha twittealgomuitoantigo,0
heterosexual homem verdade twittealgomuitoantigo,heterosexual hom verdad twittealgomuitoantig,heterosexual homem verdade twittealgomuitoantigo,1
saber pegar mulher sem parecer babaca twittealgomuitoantigo,sab peg mulh sem parec babac twittealgomuitoantig,saber pegar mulher sem parecer babacer twittealgomuitoantigo,1
geisy fantastico deu nota mas noticias geisy isso ilegal gente quem tem dar nota vc ruim,geisy fantast deu not mas notic geisy isso ilegal gent quem tem dar not vc ruim,geisy fantastico dar nota mas noticia geisy isso ilegal gente quem ter dar nota vc ruim,0
parametros notas sao complexos resumo marlene mattos monica bellucci vc so pegaria partir bom,parametr not sao complex resum marlen matt monic bellucc vc so peg part bom,parametro nota sao complexo resumo marlener matto monico bellucci vc so pegar partir bom,1
nao fala boquete recebe rt liberdade significa falar boquete quem fala clima,nao fal boquet receb rt liberdad signif fal boquet quem fal clim,nao falar boquete receber rt liberdade significar falar boquete quem falar clima,0
vao comer arroz feijao fdp frescos caralho,vao com arroz feija fdp fresc caralh,vao comer arroz Feijao fdp fresco Caralho,0
rt rt pra vc desmaia qdo tira sangue chegou plano odontomacho via,rt rt pra vc desma qdo tir sang cheg plan odontomach via,rt rt pra vc desmaia qdo tira sangue chegar plano odontomacho ver,0
kassabe fosse diria culpa minha nao fiz projeto algum chuvas vcs povao porco nao cobra nada,kassab foss dir culp minh nao fiz projet algum chuv vcs pova porc nao cobr nad,kassabe ser dirio culpa meu nao fiz projeto algum chuva vcs Povao porco nao cobra nada,0
sobreviver haiti missao mesmo,sobreviv hait missa mesm,sobreviver haiti missao mesmo,0
vc tem twitter,vc tem twitt,vc ter twitter,1
video clipe semana,vid clip seman,video clipe semano,0
usa twitter pergunta fazem todo momento,usa twitt pergunt faz tod moment,usar twitter perguntar fazer todo momento,0
