text,hatespeech_comb,hatespeech_G1,annotator_G1,hatespeech_G2,annotator_G2,hatespeech_G3,annotator_G3,pred_av1,pred_llama3,pred_gemma2
SERA QUE EU TENHO ALZHEIMER E NAO LEMBRO???,1,1,D,1.0,It,0,D,0,0,0
"@fcancio 
ahahahahah os média?? São a maior pouca vergonha, manipuladores, tendenciosos.
Mas... ainda continua a pensar no Trump? Livra!...",1,1,C,1.0,V,0,D,0,1,1
Deixou o Dia da Mulher passar em branco e agora não sabe como presentear? Veja as nossas dicas de presente ideal... https://t.co/BJxRar0yxT,0,0,E,0.0,V,0,D,0,0,0
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!,0,0,E,0.0,B,0,D,0,0,0
"ela me machuca discutindo sobre roupa,eu não dou NENHUM desgosto a ela mas a gente mora num inferno de quintura ela quer que eu use burca?",1,1,E,1.0,B,0,C,0,1,1
"já falei que não sou racista porra
mas...",0,1,B,0.0,V,0,A,0,0,1
tava arrumando meu quarto achei o corpo da eliza samudio,0,1,A,0.0,S,0,E,0,1,1
"QUE COMECE O DESESPERO:
#CarnavalAcabouE FELIZ 2017 https://t.co/wGEk6AWDgd",0,1,E,0.0,S,0,E,0,0,0
RT @CusquicesFufas: Fufas trocam alma por pão fofo !,1,1,B,1.0,Dani,0,B,1,0,1
"Minha mãe sempre trabalhou, se na sua casa a galera não gosta de um trabalho honesto não tenho culpa https://t.co/eoAs4Ub2Lo",0,1,B,0.0,I,0,A,0,0,0
No dia 10 de Junho de 2016 - Todos os caminhos vão dar ao Largo de Camões https://t.co/PWoSAsbq6k,0,0,A,0.0,S,0,C,0,0,0
DISTRIBUÍ NO PROTESTO ONTEM KKKK A CULPA NÃO É MINHA HEIN http://t.co/at193MaRgK,0,0,D,1.0,It,0,A,0,1,1
@Estadao eu sou um unicornio,0,1,D,0.0,S,0,A,0,0,0
"RT @frasesdegays: se você não tem uma prima sapatão, a prima sapatão é você",1,1,B,1.0,S,0,E,1,1,1
"@bethmoreno 'hoje eu durmo cedo'
2:48 
Tony Tornado pelado...",0,0,D,0.0,I,0,C,0,0,0
RT @naominfeliz: eu ainda não superei o clipe de baiana e esse casal sapatão afrocentrado  https://t.co/EROEk1lBZ6,1,1,A,1.0,V,0,E,1,1,1
"@GLStecanela Mulher apanha aqui na ilegalidade, porque se pegarem o canalha ele apanha ou vai preso!!!
https://t.co/l0LAduFdXX",1,1,D,1.0,V,0,C,1,1,1
RT @__ana__silva__: @o__ferreira Volta para a tua terra,1,1,C,0.0,B,1,B,0,0,1
"Um dia será o ar que respiramos 
https://t.co/1gHF6Ko6zP#Portugal #RenovarPortugal",0,0,B,0.0,B,0,E,0,0,0
"RT @alcoolinda: teresa: quero ir ao quintal
toda a gente excepto eu: *ignores*
teresa: é um sitio de fufas
toda a gente: BORA!1!!!!",1,1,E,0.0,V,1,C,1,0,1
"RT @AdemirAlvim: Odeio carnaval, mas esse é o melhor carro alegórico que já vi na vida https://t.co/6k42F6v1dC",0,0,E,0.0,I,0,A,0,0,0
"Que justiça injusta. O Brasil tem que mudar. Mas, infelizmente a maioria dos parlamentares e muitos juristas... https://t.co/pM4ufRIFce",1,1,E,1.0,Dani,0,C,0,0,0
Feministas ou sindicatos vão lá protestar?? https://t.co/ns1bcccmYO,0,1,A,0.0,I,0,D,0,0,1
"Video que explica porque a imigração em massa para países desenvolvidos não soluciona a miséria dos subdesenvolvidos
https://t.co/ErcCavTe2l",0,0,C,0.0,S,1,B,0,0,0
"Trump preconceituoso, racista!
Não, péra... https://t.co/m2MSgTkk48",1,1,D,1.0,Dani,0,D,0,1,1
"RT @rpsantos1970: Os ratos e o Hospital do Barreiro.
O @psocialista diz que as obras avançam este ano, mas outros já disseram o mesmo no pe _",0,0,C,1.0,It,0,C,0,0,0
"'não sou ateu, sou AGNÓSTICO'
GRANDE MERDA FIO, NÃO ACREDITA EM JESUS DE NAZARÉ PRA MIM NEM GENTE É #PAZ",1,1,E,1.0,I,0,D,0,0,0
Só podia ser mulher pra reparar roupa https://t.co/rrFyFds3RH,1,1,E,1.0,B,1,E,0,1,1
Quando vc descobre que aquela mina que vc conhece de vista é sapatão,1,1,A,1.0,I,1,B,1,0,1
"@SadBoyKevyn 
Nunca penses que algo 'é o mais qualquer coisa'. Quando se pensa ter chegado ao fundo percebe-se que não há fundo.",0,0,D,0.0,It,0,C,0,0,0
Galera que se diz DEMOCRATA e defensora dos DIREITOS é a primeira a não reconhecer o resultado de eleições LIVRES E DEMOCRÁTICAS.,1,1,C,1.0,It,0,D,0,1,1
"RT @Andreeysilva99: @carlos_rauan @paoleet_ liga não mano , claro que ela tem carimbo no passaporte rs .. Ela veio p brasil refugiada da an _",1,1,E,1.0,Dani,0,D,0,1,1
feministas defendem uso de hijab como se fosseEMPODERAMENTO mas nem mencionam q se a mulher não usar o marido espan _ https://t.co/2FfWOByp4d,1,1,C,1.0,V,0,C,1,1,1
@abstrusivo heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí),0,0,D,0.0,S,0,D,0,0,0
"#SerMulherÉ TER (OU JÁ TER POSSUÍDO) ÚTERO, OVÁRIO, TROMPAS DE FALÓPIO ETC 
RESTO É GAMBIARRA
#InternationalWomensDay FELIZ DIA DAS MULHERES",1,1,C,0.0,It,1,E,0,1,1
Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT @AlineBorel    tá pra nascer pessoa mais desastrada que eu.,0,1,E,0.0,V,0,D,0,1,0
RT @midiasemmascara: Os católicos idiotas úteis de George Soros - https://t.co/nmluaW7zjPhttps://t.co/T6QteLcWhC,0,1,D,0.0,I,0,C,0,1,1
"Me divertindo muito enquanto hospedo o Primeiro Ministro Shinzo Abe nos Estados Unidos!
https://t.co/7yfRnjbAqU _ https://t.co/YwL0C0Y3hU",0,0,C,0.0,S,0,D,0,0,0
"As refeições na #AssembleiaRepública deveriam ser iguais às das cantinas das escolas. Isso sim, seria dar o exemplo!
@govpt @antoniocostapm",0,1,A,0.0,I,0,A,0,1,0
Deu acidente aqui na esquina de casa e só da pra ouvir os pedreiros gritando chamando a mulher de burra kkkkkkk,1,1,D,1.0,I,1,C,1,1,1
"A próxima jornada do 'Overdose de Tourette-On The Road' joga-se toda a Norte:
-2 MAR: VISEU
-3 MAR: PORTO
-4 MAR: A _ https://t.co/biQDOLHyBv",0,1,E,0.0,B,0,C,0,0,0
"Não se sinta mulher de verdade se você ofende outras mulheres chamando-as de feia, estranha, magrela, gorda, etc",1,1,D,1.0,S,0,C,1,1,1
"@juliamionn @bibia_22 
'ela não gosta de você' 'ela é muito feia e se acha' 'faz baca' 'gorda' 'rodada' 
nada
sei lá 
não
passo",1,1,C,1.0,I,1,E,1,1,1
"@Estadao Duvido o feminismo ser contra o que esse MACHO HOMEM pede aí!
O feminismo é capacho da esquerda!",1,1,B,1.0,It,1,A,1,1,1
"Qlqr pesquisa negativa é notícia falsa, como da CNN, ABC e NBC nas eleições. Desculpa, o povo quer segurança nas fr _ https://t.co/OGluzXPHbE",0,1,C,0.0,S,0,C,0,1,1
"A primeira parte dos Patriots foi horrível.
Alguém me sabe dizer se o Palhinha também joga lá?
#SuperBowl",0,1,C,0.0,Dani,0,B,0,0,0
"'....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.'",0,0,B,0.0,B,0,B,0,1,1
RT @pffilipini: sapatão ô raça,1,1,E,1.0,I,1,D,1,0,1
"Portugal à deriva _de @rpsantos1970 
https://t.co/1fP2HpSBk8#Portugal #PNR #RenovarPortugal",0,1,E,0.0,B,0,C,0,0,0
