clean_text,stemmed_text,lemmatized_text,sentiment
nao es feio,nao es fei,nao es feio,0
voce pensa,voc pens,voce pensar,1
amo,amo,amo,0
lindo,lind,lir,1
oi visite canais saiba projeto incrivel,oi visit can saib projet incrivel,oi visite canal saber projeto incrivel,1
print ja ta caso nao mostro pra,print ja ta cas nao mostr pra,print ja ta caso naor mostro pra,1
affffff queria fe ano nois ta junta denovo confio,affffff quer fe ano nois ta junt denov confi,affffff querer fe ano nois ta juntar denovo confio,0
nao palavra definir tratamento embarque voo la ridiculo ate continuarem longo prazo voces nao ai pra ajustar,nao palavr defin tratament embarqu voo la ridicul ate continu long praz voc nao ai pra ajust,nao palavrar definir tratamento embarque Voo la ridiculo ate continuar longo prazo voce nao ai pra ajustar,0
so q menino kaka mundial ja neymar n,so q menin kak mundial ja neym n,so q menino kaka mundial ja neymar n,1
ando bike ngm fala homao porra,ando bik ngm fal homa porr,ar bike ngm falar homao porra,0
bar ccddceca,bar ccddcec,bar ccddceca,0
continuam sendo favs brigadas,continu send favs brig,continuar ser favs brigar,0
sentimento razao atualmente inverso orgulho,sentiment raza atual invers orgulh,sentimento razao atualmente inverso orgulho,1
,,,0
queria pai madrasta infelizmente nao,quer pai madrast infeliz nao,querer pai madrasta infelizmente nao,0
lindas,lind,linr,0
acaba acabar renovar estoque,acab acab renov estoqu,acabar acabar renovar estoque,0
to sentindo,to sent,to sentir,0
to quase esperanca,to quas esperanc,to quase esperancar,0
ai mae eh mt sogra sonhos,ai mae eh mt sogr sonh,ai mae eh mt Sogra sonho,0
infelizmente vi gente gosto caindo manipulacao bonoro,infeliz vi gent gost caind manipulaca bonor,infelizmente ver gente gostar cair manipulacao bonoro,0
nao vc amigo,nao vc amig,nao vc amigo,1
pequeno ta ficando aninho velho ai gente aninhos vida amor,pequen ta fic aninh velh ai gent aninh vid amor,pequeno ta ficar aninho velho ai gente aninho vida amor,1
answer nao saiu brasilia her ta staff caraca,answer nao saiu brasil her ta staff carac,answer nao sair brasilia her ta staff caraco,0
perguntem,pergunt,perguntir,0
homem ficou paraplegico apos acidente conseguiu ficar pe caminhar metros anos gracas tratamento estimulacao eletrica medula espinhal feito eua materia completa,hom fic parapleg apos acident consegu fic pe caminh metr anos grac tratament estimulaca eletr medul espinhal feit eua mat complet,homem ficar paraplegico apo acidente conseguir ficar pe caminhar metro ano graco tratamento estimulacao eletrico medular espinhal fazer EUA materia completo,1
saudades ja ia sandes dessas copo vinho apetite,saudad ja ia sand dess cop vinh apetit,saudade ja ir sande de esse copo vinho apetite,1
i dont want it at all contrato firmado escandalo acho,i dont want it at all contrat firm escandal acho,i dont Want it at All contrato firmar escandalo achar,0
venham olaias,venh ola,vir olaia,1
nao acredito nisso maju,nao acredit niss maju,nao acreditar em isso maju,0
saudades sol,saudad sol,saudade sol,0
tirando q fiz prova hj manha dia ta tbm kkk fiz agr noite,tir q fiz prov hj manh dia ta tbm kkk fiz agr noit,tirar q fiz prova hj mar dia ta tbm kkk fiz agr noite,1
boto fe,bot fe,boto fe,0
semana prova nois so ressaca,seman prov nois so ressac,semana prova nois so ressaca,0
incrivelmente maravilhosa amo conta voce forte tendo falado voce voce pareceu amor to feliz segui vi voce incrivel,incrivel maravilh amo cont voc fort tend fal voc voc parec amor to feliz segu vi voc incrivel,incrivelmente maravilhoso amo contar voce forte ter falar voce voce parecer amor to feliz seguir ver voce incrivel,1
achei ish ja passou dorzinha espero passado ah dia,ache ish ja pass dorzinh esper pass ah dia,achar ish ja passar dorzinha esperar passado ah dia,1
vergonha viu,vergonh viu,vergonha ver,0
pra ficar melhor so faltava nao ta tendo crise enxaqueca,pra fic melhor so falt nao ta tend cris enxaquec,pra ficar melhor so faltar nao ta ter crise enxaquec,0
mt pessoas tratam politicos lideres religiosos ai candidato q tavam torcendo vence nao ficam felizes ah pais pra frente d ficam ha chupa ateus gueis satanistas votei vadia vencedora gtd,mt pesso trat polit lid religi ai candidat q tav torc venc nao fic feliz ah pais pra frent d fic ha chup ateus gue satan vot vad vencedor gtd,mt pessoa tratar politico lider religioso ai candidato q tar torcer vence nao ficar feliz ah pai pra frente d ficar ha chupa ateu guel satanista votar vadio vencedor gtd,1
falo vida refirome futuro,fal vid refirom futur,falar vida refiromer futuro,1
noite galerinha turma desenvolvemos varios curtas metragens abordam criticas sociais racismo abuso xenofobia homofobia deem passadinha la canal havera videoscompartilhem puder,noit galerinh turm desenvolv vari curt metragens abord critic soc racism abus xenofob homofob deem passadinh la canal hav videoscompartilh pud,noite galerer turma desenvolvemos vario curto metragem abordar critica social racismo abuso xenofobio homofobia deem passadinhar La canal haverar videoscompartilhem puder,1
gostaria egocentrico,gost egocentr,gostar egocentrico,0
fofinho,fofinh,fofinho,0
porem nao bebo cerveja,por nao beb cervej,por nao bebo cervejo,0
feito nao,feit nao,fazer nao,1
estranha nao superei ate hoje rompimento,estranh nao sup ate hoj rompiment,estranho nao superei ate hoje rompimento,0
ei voce ai madruga ta tedio confere pagina aruan la facebook,ei voc ai madrug ta tedi confer pagin aruan la facebook,ei voce ai madruga ta tedio conferir pagina aruanr la facebook,1
minoru ido tao candidato deputado federal,minoru ido tao candidat deput federal,minoru ir taoer candidato deputado federal,0
coracao,coraca,coracao,0
sobraaaaa,sobraaaa,Sobraaaaa,0
aniversario p,aniversari p,aniversario p,1
homenagem eleicoes hoje sabre ta apagado pq nao youngling pra matar trazer mudancas imperio,homenag eleico hoj sabr ta apag pq nao youngling pra mat traz mudanc imperi,homenagem eleicoes hoje sabrar ta apagar pq nao youngling pra matar trazer mudanca imperio,1
