,website,keywords,headlinePortuguese,headlineEnglish,sentimentScorePortuguese,sentimentScoreEnglish,sentimentMagnitudePortuguese,sentimentMagnitudeEnglish,isOnline,onlineStartDate,onlineEndDate,onlineTotalTimeMS
0,UOL,['Bolsonaro'],Bolsonaro se desculpa após mandar repórter 'calar a boca': 'Fui grosseiro',Bolsonaro apologizes after telling reporter to 'shut up': 'I was rude',0.0,-0.800000011920929,0.0,0.800000011920929,False,2020-05-05 23:03:18.646000+00:00,2020-05-06 02:31:21.888000+00:00,12483242.0
1,O Antagonista,['Bolsonaro'],"“Bolsonaro, faça um exame de consciência”","""Bolsonaro, take a conscience exam""",0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-21 00:05:50.133000+00:00,2020-06-21 12:32:13.907000+00:00,44783774.0
2,G1,"['Bolsonaro', 'Moro']",Moro dá 'unfollow' em Bolsonaro em rede social; presidente ainda segue ex-ministro,Moro gives 'unfollow' in Bolsonaro on social network; president still follows former minister,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-04-27 14:02:24.664000+00:00,2020-04-27 19:03:05.930000+00:00,18041266.0
3,Folha de SP,['Bolsonaro'],Inquérito que investiga Bolsonaro adota 'sabatina' com advogados,Inquiry investigating Bolsonaro adopts 'sabbath' with lawyers,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-08 11:32:21.009000+00:00,2020-06-08 15:31:21.470000+00:00,14340461.0
4,R7,['Weintraub'],Weintraub defendeu prisão para 'vagabundos' e membros do STF,Weintraub defended prison for 'bums' and members of the Supreme Court,0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-05-22 22:32:17.330000+00:00,2020-05-23 06:31:41.895000+00:00,28764565.0
5,R7,['Covas'],"'O vírus escancarou a distorção social que temos em SP', diz Covas","'The virus has opened up the social distortion we have in SP,' says Covas",-0.20000000298023224,-0.4000000059604645,0.20000000298023224,0.4000000059604645,False,2020-06-11 07:31:54.125000+00:00,2020-06-11 19:02:33.487000+00:00,41439362.0
6,UOL,['Bolsonaro'],Secretário troca comandante da Rota crítico a Bolsonaro e alinhado a Doria,Secretary exchanges commander of the Critical Route to Bolsonaro and aligned to Doria,0.0,0.0,0.0,0.0,False,2020-05-27 22:31:09.728000+00:00,2020-05-28 11:05:19.015000+00:00,45249287.0
7,G1,['Lula'],É #FAKE que Lula pediu autorização do STF para lua-de-mel em Dubai,It is #FAKE that Lula asked permission of the Supreme Court for honeymoon in Dubai,-0.5,-0.800000011920929,0.5,0.800000011920929,False,2020-06-22 18:02:55.711000+00:00,2020-06-22 19:31:37.626000+00:00,5321915.0
8,UOL,['Bolsonaro'],Promessa feita por Jair Bolsonaro de cortar 30% dos cargos fica no papel,Promise made by Jair Bolsonaro to cut 30% of positions stays on paper,0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-05-26 00:32:29.435000+00:00,2020-05-26 09:03:14.290000+00:00,30644855.0
9,UOL,"['Weintraub', 'Bolsonaro']",Bolsonaro critica participação de Weintraub em protesto,Bolsonaro criticizes Weintraub's participation in protest,-0.20000000298023224,-0.4000000059604645,0.20000000298023224,0.4000000059604645,False,2020-06-16 01:31:53.115000+00:00,2020-06-16 04:04:42.875000+00:00,9169760.0
